sample,status
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_30_none_1,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_30_none_2,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_30_none_3,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_30_none_4,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_3,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_4,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_3,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_4,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_3,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_4,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_3,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,8
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_0.001_-1_none_1,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_0.001_-1_none_2,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_0.001_-1_none_3,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_0.001_-1_none_4,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_180_none_1,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_180_none_2,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_180_none_3,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_180_none_4,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_30_none_1,0
